number	category	artwork_title	artist	date	style	media	explanation
43	Modern Art	Guernica	Pablo Picasso	1937	Cubism	oil, canvas	Guernica was Picasso's response to the bombing of the Basque town of the same name on April 26, 1937 during the Spanish Civil War. Picasso was commissioned by the republican government of Spain to produce a mural painting for the Spanish Pavilion at the World Fair in Paris. Painted in one month - from May to June 1937 - Guernica became the centerpiece of the Spanish pavilion and a sensation at the Fair, but it was consequently banned from exhibition in Spain until military dictator Franco fell from power in 1975. Picasso had studied dramatic photographs of bombing published in various periodicals. Despite that, neither the studies nor the finished picture contain a single allusion to a specific event, constituting instead a generic plea against the barbarity and terror of war. The scene depicted in Guernica is a room full of moving, screaming and dying adults, children and animals. Most of the individual images are also symbols: a bull (virility of man), a woman with a dead child (pieta image), a horse (innocent people), a dead soldier with stigmata (martyrdom), a blazing light (bombs), a prison cell (torture), a dove (peace). Guernica is painted in monochrome, using a palette of grey, black, and white. Perhaps Picasso wanted to give his painting a veneer of photojournalistic realism; or maybe the bleak, night-time colour scheme complemented the jagged shapes and terror-stricken faces, and added to the sense of panic and terror. In any event, the lack of colour gives added impact to the flattened Cubist forms, and adds to the drama of the work by allowing Picasso to highlight key faces and objects in white. This painting is undoubtedly modern art's most famous response to war, and an international symbol of genocide committed during wartime.
44	Modern Art	Whaam!	Roy Lichtenstein	1963	Pop Art	magna, canvas	Whaam! (1963) is a two-canvas painting based on an image from the comic book strip All-American Men of War, published by DC Comics in February 1962. The left canvas depicts an American fighter plane firing a missile that hits an approaching enemy plane seen on the right canvas. The bright yellow letters ‘WHAAM!’ blaze out of the exploding airplane, describing the impact of the attack. The artist got the idea for Whaam! while working on Tex! (1962), a smaller, single panel painting that has a similar composition of a plane shooting at an enemy aircraft. The artist explained the idea of the two-canvas painting in a letter he wrote in 1967: “I remember being concerned with the idea of doing almost separate paintings having a little hint of compositional connection, and each having slightly separate stylistic character. Of course, there is the humorous connection of one panel shooting the other.” In the painting, Lichtenstein imitates the tradition of printed comic strips in the thick black lines that outline areas of primary colors, and the uniform areas of Ben-Day dots in the purple shading of the fighter plane and the sky in the background. He found this style of comic book strips and cartoons particularly appealing because it allowed him to depict emotionally charged, dramatic subject matters, like love and war, in a detached and calculated manner. In his paintings, Lichtenstein drew inspiration from popular imagery in advertising, comic books, and cartoons. Although his paintings have an element of appropriation, the artist transformed these images in his paintings. The ‘low’ mass-produced image from a comic book is transferred to the realm of high art in the traditional medium of a large-scale easel painting. During the first half of the 1960s, Lichtenstein created multiple war paintings such as Bratatat! (1963), Okay Hot-Shot, Okay! (1963) and As I Opened Fire (1964). Like Whaam! these were inspired by comic book images that glorified military action and heroism. In Lichtenstein’s paintings, these images become ironic and juvenile. Lichtenstein who served in the US Army between 1943 and 1946, painted these war paintings at a time when the Vietnam War was gaining steam. By emphasizing the irony and ridiculousness of the scenes, the artist deconstructs military heroism and glorified action-packed violence. In a 1963 interview, Lichtenstein stated: “The heroes depicted in comic books are fascist types, but I don’t take them seriously in these paintings – maybe there is a point in not taking them seriously, a political point.” Therefore, paintings like Whaam! can be interpreted as artworks that emphasize the foolishness and absurdity of war. The complexity of the Whaam! lies in its contrasts and dualities – an emotionally charged subject presented in a detached style, a commercial image placed in a fine art context, and a mass-produced image becoming a unique artwork in the form of a painting. These dualities were characteristics of the Pop art and were explored by Lichtenstein and his contemporaries, Andy Warhol and Claes Oldenburg.
45	Modern Art	Composition IV	Wassily Kandinsky	1911	Abstract Art	oil, canvas	An interesting story that indicates Kandinsky’s intellectual examination in the creation of his works revolves around this composition. He became exhausted during the months of studying he went through in preparation for this painting, and decided to go for a walk. His assistant at the time, Gabrielle Munter, who was tidying up the studio in the artist’s absence, inadvertently turned the canvas on its side. Upon Kandinsky’s return, he saw the canvas, fell to his knees and began weeping at the beauty of the painting. His newly found perspective on the piece would change his artistic vision and direction for the rest of his life.
46	Modern Art	The Wood On Its Head	Georg Baselitz	1969	Neo-Expressionism	oil, canvas	The Wood on its Head is Baselitz's first inverted painting, in which he upends his subject matter to frustrate recognition of the objects depicted. Its motif, based on a picture by the early 19th century painter Louis Ferdinand von Rayski, is similar to those found in his previous work, but here he makes them secondary to the physical properties of the medium. This radical approach troubles our ability to interpret the picture, leaving us wondering whether we are now looking at an abstraction or, simply, a conventional landscape upturned. We might read it as symptomatic of Baselitz's continuing attempts to find a different path from those that had been dominant when he emerged - the gestural abstraction of Paris and New York, and the Socialist Realism of the Eastern bloc.
47	Modern Art	Dépouille	Jean Fautrier	1945	Art Informel	mixed technique, paper, linen	One translation of Dépouille is “human remains.” This painting is from Jean Fautrier’s series Otages (or, “Hostages”), a response to the horrors inflicted by Nazi soldiers in German-occupied France during World War II. Born in Paris, Fautrier was educated in London but served in the French army during World War I. Returning to Paris in 1940 but unable to serve because of injuries sustained during that war, Fautrier was temporarily detained by the Gestapo because of his involvement in the resistance. He subsequently fled to a sanatorium in the Parisian suburb of Châtenay-Malabry, where he painted within earshot of the woods where German forces conducted massacres at night. The artist developed a technique of gluing layers of paper to canvas to create an absorbent skin-like surface on which he applied a thick impasto to render a form that may resemble a brutalized or half-buried head; in this way, Fautrier used relief painting to evoke the desecration of the body.
48	Modern Art	Still Life	Giorgio Morandi	1946	Magic Realism	oil	Morandi repeatedly painted the same selection of familiar items, including bottles, bowls, pots and boxes. In his paintings, they lose their domestic purpose, to become sculptural objects that invite meditation and contemplation. Through repeated scrutiny of these simple items, Morandi created a sense of timelessness. However, his fondness for the earthy colours of his native Bologna helps to anchor such works in the artist's own life and surroundings.
49	Modern Art	Vir heroicus sublimis	Barnett Newman	1950 - 1951	Color Field Painting	oil, canvas	Translated as "Man, heroic and sublime," Vir heroicus sublimis was, at 95" by 213", Newman's largest painting at the time it was completed, although he would go on to create even more expansive works. He intended his audiences to view this and other large paintings from a close vantage point, allowing the colors and zips to fully surround them. In this piece, which is more complex than it initially appears, Newman's zips are variously solid or wavering, creating a perfect square in the center and asymmetrical spaces on the perimeter. Mel Bochner, an artist associated with Conceptualism, remembered encountering it at MOMA in the late 1960s and realising that its scale and color created a new kind of contact between art and the viewer. "A woman standing there [looking at it].. was covered with red," he recalled. "I realised it was the light shining on the painting reflecting back, filling the space between the viewer and the artwork that created the space, the place. And that that reflection of the self of the painting, the painting as the subject reflected on the viewer, was a wholly new category of experience."
50	Modern Art	Mountains and Sea	Helen Frankenthaler	1952	Lyrical Abstraction	charcoal, oil, canvas	Initially associated with abstract expressionism, her career was launched in 1952 with the exhibition of Mountains and Sea. This painting (inspired by inspired by a trip to Nova Scotia) is large - measuring seven feet by ten feet - and has the effect of a watercolor, though it is painted in oils. In it, she introduced the technique of painting directly onto an unprepared canvas so that the material absorbs the colors. She heavily diluted the oil paint with turpentine so that the color would soak into the canvas. This technique, known as "soak stain" was used by Jackson Pollock (1912–1956), and others; and was adopted by other artists notably Morris Louis (1912–1962), and Kenneth Noland (1924–2010), and launched the second generation of the Color Field school of painting. This method would sometimes leave the canvas with a halo effect around each area to which the paint was applied but has a disadvantage in that the oil in the paints will eventually cause the canvas to discolor and rot away.
51	Modern Art	Woman with a Hat	Henri Matisse	1905	Fauvism	oil, canvas	Matisse attacked conventional portraiture with this image of his wife. Amelie's pose and dress are typical for the day, but Matisse roughly applied brilliant color across her face, hat, dress, and even the background. This shocked his contemporaries when he sent the picture to the 1905 Salon d'Automne. Leo Stein called it, "the nastiest smear of paint I had ever seen," yet he and Gertrude bought it for the importance they knew it would have to modern painting.
52	Modern Art	Zebra	Victor Vasarely	1937	Op Art	prints	Vasarely delivered one of the most important pieces of his career when he created Zebra, a painting inscribed in Op-art movement. The first version of this artwork had been made 30 years before the Op-art concept was conceived; however, it is considered to be a part of this movement. The last version of Zebra was created in 1965. Between 1939 and 1948, Vasarely laid out the fundamentals of Op-art in his early works. He was focused on studying the use of lines, the interaction between shadow and light, and the creation of perspective. Vasarely once affirmed: “The celebrated transition from the representational to nonrepresentational art is only one of the stages of profound transformation taking place in the plastics arts. The term ‘abstract’ in painting refers not to an established fact, but to an irresistible trend towards plastic creation different from the kind we already know.” Zebra can be apprehended as a study of shape, contrasts, and optical illusions. It seems like Vasarely picked the adequate animal for representing in one of the firsts pieces of the Op-art movement. In Zebra from 1937, the animals pose in front of a white background, and the contrast is obvious. Even though the background color is different, the same effect occurs with the Zebra from 1965. The stripes of the animal mesh with the background (especially in the 1965 piece) because the drawing doesn’t have borders. Also, curvilinear stripes of the zebras create an illusion of movement, playing with the awareness of the human eye.
53	Modern Art	Portrait of Felix Feneon	Paul Signac	1890	Neo-Impressionism	oil, canvas	Signac used a pencil drawing and oil sketch to portray Fénéon on the canvas, adopting the Pointillist technique, which is characteristic of Post-Impressionist style. The composition of the painting is speculated to be influenced by Georges Seurat’s 1890 gouache portrait of Signac. Signac depicted Fénéon in left profile, captured through several short sittings rather than long ones. Overall, Opus 217, Portrait of Felix Fénéon is an impressive work of art that captures the essence of Fénéon’s character and contributions to the art world. The painting is significant both as a representation of an important figure in the Neo-Impressionism movement and as an example of Post-Impressionist painting techniques.
54	Modern Art	Dubo Dubon Dubonnet	Cassandre	1932	Art Deco	Lithograph	Cassandre designed this three-part poster for the French aperitif Dubonnet in 1932. In three stages, we follow a figure presented in silhouette as he looks at his full glass, downs his drink, then fills his glass again. As he drinks, he and his surroundings are filled with colour. And not only that: the outlines of the word ‘Dubonnet’ written at the bottom of the posters also fill up. In this way, the three pictures drive the name of the drink into the memory of the viewer. Cassandre saw the design of posters as the perfect art form for modern public life, with the city serving as the artist’s canvas. With his ingenious and, above all, witty interplay of form, colour, words and picture, he was aiming to reach the hurried passer-by. The Dubonnet posters are one of his most famous and most popular designs.
55	Modern Art	Gargantua	Honore Daumier	1831	Social Realism	lithography	Comic publication La Caricature published this caricature of the French King Louis Phillippe as the nameless Gargantua character from Rabelais’s foul and crude novel, Gargantua. Like Daumier’s works, Gargantua explored the meaning of words and how or when they were judged obscene, as well as the many social institutions and their effectiveness and justification. Six months in jail at Saint Pelagic followed Daumier’s creation of an unpleasant portrait of King Louis XIV. La Caricature, the periodical that published Daumier’s work following his release and return to society, was shortly shut down after his release.
56	Modern Art	The Hay Wain	John Constable	1821	Naturalism	oil, canvas	The Hay Wain, one of Constable's most renowned works, was initially unremarkable when it was exhibited. The painting depicts the River Stour, which separates Suffolk and Essex, with Willy Lott's cottage to the left. The cart in the painting might have been positioned in the water to prevent the wooden wheels from shrinking in the sun and loosening their metal rims. The painting emanates positivity and peacefulness, conveyed through the use of color. The cool tones of the water reflect the blue of the sky, and the red of the horse's harness highlights the terracotta of the house. The greens and yellows of the vegetation frame the entire image, and the meadow on the right of the canvas opens up space to the viewer. The river's curve in the foreground directs attention towards the Hay Wain, the central focus of the painting. Constable's signature flecks of white paint on the water's surface represent the noon sunshine's reflection on the river. The painting's size (another six-footer) and the meticulously crafted light effect give the impression that the viewer is standing on the near bank of the river and can enter the scene. The painting celebrates nature's beauty without embellishment or exaggeration and reflects Constable's dedication to depicting reality as he saw it. This approach gives the scene an authentic and sincere quality that is immediately recognizable to the viewer.
57	Modern Art	Head and Shoulders of Smiling Santa Claus	Haddon Sundblom	1960 - 1969	Kitsch	oil, board	The job of creating a symbolic but realistic representation of Santa was commissioned to the illustrator Haddon Sundblom (1899-1976). Inspired by Clement Clark Moore’s poem A Visit From St. Nicholas, the artist portrayed a man with twinkling eyes, rosy cheeks, and a round belly who played with the toys he delivered and embraced the children that stayed up late waiting for him. Sundblom’s Santa was very different from the other ones: he radiated warmth and reminded people of their favorite grandfather—a friendly man who loved children and enjoyed life. And to create this human image of Santa, Sundblom used a friend of his—and later even his own self—as the model for the character. Adding a white beard flowing down over a long red coat generously outlined with fur, an enormous brass buckle fastening a broad leather belt, and large floppy boots, he painted a perfectly lovable patron saint of the season.
58	Modern Art	The Resurrection, Cookham	Stanley Spencer	1924 - 1927	Neo-Romanticism	oil, canvas	In February 1927 Spencer held his first one-man exhibition at the Goupil Gallery. The centre piece of the exhibition was The Resurrection, Cookham which received rave reviews in the British press. The Times' art critic described it as "the most important picture painted by any English artist in the present century. ... What makes it so astonishing is the combination in it of careful detail with the modern freedom of form. It is as if a Pre-Raphaelite had shaken hands with a Cubist." The huge painting is set in the grounds of the Holy Trinity Church, Cookham, and shows Spencer's friends and family from Cookham and Hampstead, and others emerging from graves watched by figures of God, Christ and the saints.[24] To the left of the church some of the resurrected are climbing over a stile, others are making their way to the river to board a Thames pleasure boat, others are simply inspecting their headstones.[25] Spencer created the picture in the early years of his marriage to Hilda and she appears three times in the picture. Overall, the Goupil exhibition was a great success with thirty-nine of the displayed paintings being sold. The Resurrection, Cookham was purchased by Lord Duveen, who presented it to the Tate.[26] After the exhibition Spencer moved to Burghclere to begin work on the Sandham Memorial Chapel for the Behrends.
59	Modern Art	Expansion in Four Directions	Max Bill	1961 - 1962	Concretism	Synthetic polymer paint on canvas	This painting shares its lozenge shape and geometric division of color with many paintings by Piet Mondrian, whose work Bill collected and in whom he was greatly interested. Bill trained at the Bauhaus in the 1920s under Josef Albers and was an architect and graphic designer as well as an artist. In his work he aimed to transcend personal artistic expression to achieve universal communication, and to this end he used mathematics as a neutralizing compositional device. The subject of an exhibition at the Museu de Arte de São Paulo in 1950 and winner of the grand prize for sculpture at the São Paulo Bienal in 1951, he helped to introduce a generation of Latin American artists to European geometric abstraction. He designed the catalogue for a 1955 Mondrian exhibition at the Zurich Kunsthaus, and lent to it three Mondrian paintings from his collection.
60	Modern Art	In those days. At the House of Unions in the days of Lenin's funeral	Konstantin Yuon	1926	Socialist Realism	wash, watercolor, paper	The painting depicts the scene outside the House of Unions in Moscow during the funeral of Vladimir Lenin, the leader of the Russian Revolution and the first head of the Soviet Union. The artwork captures the somber atmosphere of the funeral procession, with thousands of mourners gathered to pay their respects to Lenin. The painting showcases the grandeur of the House of Unions, which served as the venue for the funeral ceremony. The building is depicted in a realistic and detailed manner, highlighting its architectural beauty. Yuon's use of colors, particularly the shades of gray and black, adds to the overall solemnity of the scene. The artist skillfully portrays the emotions of the people present, their grief and reverence for Lenin. The painting also showcases the vastness of the crowd, emphasizing the impact and significance of Lenin's death on the Russian people. "In Those Days" is considered a masterpiece of Russian art, capturing a pivotal moment in history and commemorating the legacy of Lenin.
61	Modern Art	Monogram	Robert Rauschenberg	1955	Neo-Dada	mixed media	One of Rauschenberg's most famous works, Monogram, pushed the art world's buttons by further merging painting and sculpture as the combine moved from the wall to the pedestal. While he began with traditional materials - an abstract painting executed in oil on stretched canvas - he abandoned tradition by adding an assemblage of found objects on top of the painting to create a canonical, three-dimensional combine painting. Rauschenberg often acquired materials for his artwork on his meanderings about New York City, allowing chance encounters with found objects to dictate his artistic output, and Monogram was no exception. In one of his wanderings in the early 1950s, Rauschenberg found and purchased a stuffed angora goat from an office supply store and later encircled it with a tire he encountered in street trash. He applied paint to the goat's snout in gestural brushstrokes that quoted Abstract Expressionism. On top of the canvas, Rauschenberg surrounded the goat with a pasture of more detritus strewn about its hooves - including a tennis ball, a wooden plank, and several found and reproduced images. Similar to his earlier combine, Bed (1955), Monogram is a work that engages the viewer on multiple levels, as they look at, down, and around the interwoven elements of the work all vying for the viewer's attention at once. However, despite many varied interpretations, Rauschenberg refused to hint at any predetermined meaning of the different symbols within the work, instead allowing viewers to create their own associations between the objects and images. Despite Rauschenberg's insistence against specific meanings of the work, often critics interpret the tire-ringed goat as a symbol of the artist's sexuality, as well as his role within the art world, trampling over tradition with his own artistic monogram.
62	Modern Art	Colors for a Large Wall	Ellsworth Kelly	1951	Hard Edge Painting	Oil on canvas, sixty-four panels	The large-scale Colors for a Large Wall is one of Kelly's early forays into multi-panel paintings, a fundamental motif throughout his career. Colors for a Large Wall helped introduce his deeply held view of paintings as objects; not only was this painting an object in itself, but it was comprised of many smaller objects (panels) supposedly having come together in chance collision. In this work, Kelly covered each of the 64 square canvases in a single color and fused them together based on a collage study he had arbitrarily arranged. Much of Kelly's subsequent work stemmed from this painting, as he continued to juxtapose panels of differing sizes, shapes, colors and materials in innumerable variations.
63	Modern Art	The Mud Bath	David Bomberg	1914	Constructivism	oil, canvas	The Mud Bath is a 1914 oil-on-canvas painting by David Bomberg. The work is considered a masterpiece of Bomberg's work in this period. Bomberg was a founder member of the London Group, and the painting is considered a leading example of Vorticism, although Bomberg resisted being described as a Vorticist. The painting is a striking composition of human figures formed from white and blue geometric planes and angles, in a rectangular bath of vibrant red surrounded by a landscape of mustard brown, arranged around a brown and black vertical element (perhaps a column at the baths). There is a suggestion that the bathers are waving their arms as if in a Bacchanalian revel. The scene is based on Schewzik Russian Vapour Baths in Brick Lane, Whitechapel, near Bomberg's home in east London, which was used by the local Jewish population for cleanliness and for religious observances, including the mikveh ritual bath. Bomberg's Jewishness was a very important part of his identity as an artist. The bathing room, with a communal bath approximately 10-foot square and balcony above, was open to either men and women on different days, and may have been the inspiration for his 1913 work, Ju-Jitsu, but did not contain a mud bath.
64	Modern Art	Sunday Afternoon on the Island of La Grande Jatte	Georges Seurat	1884 - 1886	Pointillism	oil, canvas	This most famous and influential Neo-Impressionist work depicts a cross-section of Paris society enjoying a Sunday afternoon in the park on an island in the Seine River just at the gates of Paris. Sunday was the time that middle-class Parisians escaped the city to enjoy the outdoors. The people primarily gather in small groups of two or three or sit alone in proximity to others. It is the relationship between these people that creates a sense of modernity, with its distance and disconnection, and nervous tension that lends the work an air of mystery. Using a grid system and applying small dots of paint, Seurat took two years to complete this large-scale painting. He went to the park often, observing and making over 60 preliminary studies, including 15 in oil. Invoking Greek classical art, Seurat explained, "The Panathenaeans of Phidias formed a procession. I want to make modern people, in their essential traits, move about as they do on those friezes, and place them on canvases organized by harmonies of color." Seurat hoped to capture the permanence, or essential forms, behind the fleeting moments. Everyone here is caught in a still pose, except for the child in the orange dress skipping off into the trees, the man on the far left playing trombone, and the furious little dog at the lower right. However, it seems a stillness that might burst into movement at any moment, just as the upper half of the painting moves into the sunlight and the boats in the distance cut across the river. While Seurat invoked classical and Egyptian figures, some have interpreted the overall static effect of the composition and the stiffness of the poses as a critique of the artificiality of modern society and the boredom of middle-class life.
65	Modern Art	American Gothic	Grant Wood	1930	Regionalism	oil, board	Grant Wood adopted the precise realism of 15th-century northern European artists, but his native Iowa provided the artist with his subject matter. American Gothic depicts a farmer and his spinster daughter posing before their house, whose gabled window and tracery, in the American gothic style, inspired the painting's title. In fact, the models were the painter's sister and their dentist. Wood was accused of creating in this work a satire on the intolerance and rigidity that the insular nature of rural life can produce; he denied the accusation. American Gothic is an image that epitomizes the Puritan ethic and virtues that he believed dignified the Midwestern character.
66	Modern Art	The Night	Pierre Alechinsky	1952	Tachisme	intaglio, paper	In the upper part of Something of a World the artist transcribed his own poem in mirror-image with both hands simultaneously. The personal quality of hand-writing greatly appealed to CoBrA artists. ‘The important thing,’ Alechinsky wrote, ‘is to discover an inner script ... with which we can explore ourselves organically.’ Alechinsky said that he painted as if he was a spinning-top, unable to control his own movements. This is evident in The Night in which twists and twirls of white on a black ground evoke luminous night forms.
67	Modern Art	Agony in the Garden	Miriam Schapiro	1991	Feminist Art	Acrylic on canvas with glitter	This large-scale painting is one in an ongoing Collaboration series begun in the mid-1970s, in which Schapiro dialogues with and pays homage to famous women artists, in this instance Frida Kahlo, whose self-portrait The Broken Column, 1944, is reproduced in the center. Schapiro is a pioneering feminist artist who, with Judy Chicago, founded the Feminist Art Program at the California Institute of the Arts in 1971, the first program of its kind to encourage women to make art from their personal experiences. A leader in the Pattern and Decoration movement, Schapiro is known for her “femmages,” or collage paintings, which aim to reclaim traditional handicrafts associated with women’s work, such as embroidery and sewing. Stylistically this painting mimics the look of a collage, recalling Schapiro’s long-standing commitment to the belief that decorative elements and women’s work are viable artistic means to express female experience, having both political and subversive potential.
68	Modern Art	Winter – Fifth Avenue	Alfred Stieglitz	1893	Pictorialism	photo	Stieglitz later wrote that this photograph was the result of a three-hour wait in a rather inclement snow storm: “In order to obtain pictures by means of the hand camera it is well to choose your subject, regardless of figures, and carefully study the lines and lighting. After having determined upon these watch the passing figures and await the moment in which everything is in balance; that is, satisfies your eye. This often means hours of patient waiting. My picture, ‘Fifth Avenue, Winter,’ is the result of a three hours’ stand during a fierce snow-storm on February 22d, 1893, awaiting the proper moment. My patience was duly rewarded. Of course, the result contained an element of chance, as I might have stood there for hours without succeeding in getting the desired picture." The picture depicts a carriage driving through a snowy urban landscape. The effect of the snow blurring gives the picture an impressionistic atmosphere.[3] The picture was later wrongly dated by the author as having been taken on 22 February 1892, but it only could have been made the following year, on 22 February 1893, judging by the weather descriptions of both days.
69	Modern Art	Grand Maitre of the Outsider	Jean Dubuffet	1947	Art Brut	oil, emulsion, canvas	This pictures is typical of the Hautes Pates series that Dubuffet exhibited to huge controversy in 1946. A thick, monochromatic surface serves as the ground for the crudely depicted figure, which is a parody of portraiture. Although Dubuffet undoubtedly intended the series to offend, and his graphic style and thick, coarse impasto certainly did offend conventional tastes, it is worth noting that the color palette is not as jarring as it might be. Dubuffet was at least cautiously mindful of the need for success.
70	Modern Art	Fountain	Marcel Duchamp	1917	Dada	ready-made	Fountain is one of Duchamp's most famous works and is widely seen as an icon of twentieth-century art. The original, which is now lost, consisted of a standard urinal, laid flat on its back rather than upright in its usual position, and signed 'R. Mutt 1917'. The Tate's work is a 1964 replica and is made from glazed earthenware painted to resemble the original porcelain. The signature is reproduced in black paint. Fountain is an example of what Duchamp called a 'readymade', an ordinary manufactured object designated by the artist as a work of art. It epitomises the assault on convention and good taste for which he and the Dada movement are best known. The idea of designating such a lowly object as a work of art came from a discussion between Duchamp and his American friends the collector Walter Arensburg and the artist Joseph Stella. Following this conversation, Duchamp bought an urinal from a plumbers' merchants, and submitted it to an exhibition organised by the Society of Independent Artists. The Board of Directors, who were bound by the constitution of the Society to accept all members' submissions, took exception to the Fountain and refused to exhibit it. Duchamp and Arensburg, who were both on the Board, resigned immediately in protest. An article published at the time, which is thought to have been written by Duchamp, claimed, 'Mr Mutt's fountain is not immoral, that is absurd, no more than a bathtub is immoral. It is a fixture that you see every day in plumbers' shop windows. Whether Mr Mutt with his own hands made the fountain has no importance. He CHOSE it. He took an ordinary article of life, placed it so that its useful significance disappeared under the new title and point of view - created a new thought for that object.' ('The Richard Mutt Case', The Blind Man, New York, no.2, May 1917, p.5.) Later in life Duchamp commented on the name of the alter ego he created for this work: 'Mutt comes from Mott Works, the name of a large sanitary equipment manufacturer. But Mott was too close so I altered it to Mutt, after the daily cartoon strip 'Mutt and Jeff' which appeared at the time, and with which everyone was familiar. Thus, from the start, there was an interplay of Mutt: a fat little funny man, and Jeff: a tall thin man ... I wanted any old name, And I added Richard [French slang for moneybags]. That's not a bad name for a pissotière. Get it? The opposite of poverty. But not even that much, just R. MUTT.' (quoted in Schwarz, p.649.) Duchamp's use of a false signature, 'R. Mutt', anticipates his adoption of the alter ego Rrose Sélavy a few years later (indeed, in a letter of the period Duchamp referred to Mutt as a woman). Some commentators have noted how the inverted urinal resembles a female body, and see this as reflecting the play with gender boundaries which was an important leitmotif of Duchamp's career. Soon after the 1917 exhibition, Duchamp took Fountain to be photographed by his friend, the photographer and gallery owner Alfred Steiglitz. Since the original was lost thereafter, this photograph (reproduced in Ades, p.129) became the basis for the later replicas. Altogether fifteen authorised replicas of Fountain were issued, one in 1951, 1953 and 1963 respectively and a further twelve in 1964. The Tate's version is number two in an edition of eight made by the Galleria Schwarz in Milan in October 1964. Four further examples were also made at this time, one for both Duchamp and Arturo Schwarz, and two for museum exhibition. Duchamp signed each of these replicas on the back of the left flange 'Marcel Duchamp 1964'. There is also a copperplate on the base of each work etched with Duchamp's signature, the dates of the original and the replica, the title, the edition number and the publisher's name, 'Galleria Schwarz, Milan'.
71	Modern Art	Early Sunday Morning	Edward Hopper	1930	New Realism	oil, canvas	The painting portrays the small businesses and shops of Seventh Avenue in New York City shortly after sunrise. Hopper created this work based on an experience in Greenwich, NY, in which he takes an early morning walk. The painting reflects his deep interest in being alone with his thoughts. It's an ambiguous scene as key details such as road signs are left out - it could be anywhere in the United States. A barbers shop is the only sign of business or even any life within the area. This painting is an example of his striking use of light to create an ethereal mood. It is stark and efficient and conveys a sense of desolation, yet the lighting softens these characteristics.
72	Modern Art	The Two Mothers	Giovanni Segantini	1889	Divisionism	oil, canvas	Presented at the inaugural Milan Triennale in 1891, Le due madri is one of Segantini's most celebrated and talked-about works, and affirmed the revolutionary new technique known as Divisionism. This genre scene, traditional only in appearance, represents the first step in Segantini's progression towards a so-called "painting of ideas." The woman with the baby, and the cow with her calf, are elevated into universal symbols of motherhood. The studied effect of artificial light, shown in the rendering of the lantern-lit stable, gives this humble scene an intensity that could only be achieved via the Divisionist technique. Inspired by a profound and sincere sense of observation, this scene is captured through filamented brushstrokes of divided colors, with pure colors applied directly to the canvas. The final effect is a work whose meaning goes beyond reality and aspires to represent a universal image of the origins of life.
73	Modern Art	The City Rises	Umberto Boccioni	1910	Futurism	oil, canvas	The City Rises is considered by many to be the very first truly Futurist painting. Boccioni took a year to complete it and it was exhibited throughout Europe shortly after it was finished. It testifies to the hold that Neo-Impressionism and Symbolism maintained on the movement's artists even after Futurism was inaugurated in 1909. It was not until around 1911 that Boccioni adapted elements of Cubism to create a distinct Futurist style. Nevertheless, The City Rises does capture the group's love of dynamism and their fondness for the modern city. A large horse races into the foreground while several workers struggle to gain control of it, suggesting a primeval conflict between humanity and beasts. The horse and figures are blurred, communicating rapid movement while other elements, such as the buildings in the background, are rendered more realistically. At the same time, the perspective teeters dramatically in different sections of the painting.
74	Modern Art	Nocturne in Black and Gold – the Falling Rocket	James McNeill Whistler	1875	Tonalism	oil, board	Nocturne in Black and Gold: The Falling Rocket (1875) is the final piece in Whistler's series of nocturnes, and one of only six to depict London's Cremorne Gardens. In this painting, Whistler portrays a fireworks display in the night sky, conveying a sense of excitement and celebration. Rather than offering a clear image, the artist's sweeping brushstrokes of dark blues and greens, interrupted by small bursts of bright color, capture the effects of fireworks over the river, exemplifying the Aesthetic principle of "art for art's sake." Whistler described the painting as conveying a "dreamy, pensive mood" rather than a narrative. Despite its significance as an early example of abstraction, The Falling Rocket was not initially well received. Critics questioned the value of the seemingly convoluted subject matter and criticized what they perceived as Whistler's reckless and careless painting technique. The negative review by John Ruskin prompted Whistler to sue for libel, submitting this painting, along with other nocturnes, as evidence. Ruskin's condemnation of Whistler's work as representative of "the modern school" proved accurate, as Whistler's technique of flicking paint at the canvas to create the fireworks influenced later modern artists, most notably Jackson Pollock.
75	Modern Art	Metro Bee	Robert Huot	1963	Post-Painterly Abstraction	stainless steel	Metro Bee is a sculpture created by American artist Robert Huot. It was completed in 1979 and is made of stainless steel. The sculpture is located in the city of Minneapolis, Minnesota, specifically in the Minneapolis Sculpture Garden. Metro Bee is a large-scale abstract representation of a bee. It stands at approximately 15 feet tall and is characterized by its sleek and geometric design. The sculpture features clean lines and sharp angles, giving it a modern and contemporary aesthetic. Huot's intention with Metro Bee was to create a visually striking and engaging artwork that would capture the attention of viewers. The sculpture's placement in the Minneapolis Sculpture Garden allows it to interact with the surrounding environment, creating a dynamic and engaging experience for visitors. Metro Bee has become an iconic landmark in Minneapolis and is often associated with the city's vibrant arts scene. It serves as a testament to the creativity and innovation of Huot's artistic vision and continues to be a beloved and admired artwork in the community.
76	Modern Art	Dempsey and Firpo	George Bellows	1924	American Realism	oil, canvas	The painting depicts the famous boxing match that took place on September 14, 1923 between the boxer Jack Dempsey (depicted in white shorts) and his Argentinean rival, Luis Angel Firpo (in purple shorts). Firpo knocks his opponent out of the ring here, but, in reality, Dempsey won the match. Bellows is noted for the high contrasts and for the angle that places the viewer in the audience. The balding man at the far left of the picture represents Bellows himself.
